,APDTop1,APDTop2,APDBot1,APDBot2,Coincidence,APD_DAC1,APD_DAC2,T1,T2,T3,T4,T5,Laser_DAC,LCPR_cap_pf,LCPR_ref_i,LCPR_1,LCPR_2,LEPDc_0,LEPDc_1,LEPDc_2,LEPDc_3,Index
0,0,0,0,0,0,800,800,308,308,316,312,312,10,0,0,106,106,0,0,0,0,0
1,0,0,0,0,0,1000,1000,308,308,316,312,312,10,0,0,106,106,0,0,0,0,1
2,0,0,0,0,0,1200,1200,308,308,316,312,312,10,0,0,106,106,0,0,0,0,2
3,0,0,0,0,0,1400,1400,308,308,316,312,312,10,0,0,106,106,0,0,0,0,3
4,0,0,0,0,0,1600,1600,308,308,316,312,312,10,0,0,106,106,0,0,0,0,4
5,0,0,0,0,0,1800,1800,308,308,316,312,312,10,0,0,106,106,0,0,0,0,5
6,0,0,0,0,0,2000,2000,308,308,316,312,312,10,0,0,106,106,0,0,0,0,6
7,0,0,0,0,0,2200,2200,308,308,316,312,312,10,0,0,106,106,0,0,0,0,7
8,0,0,0,0,0,2400,2400,308,308,316,312,312,10,0,0,106,106,0,0,0,0,8
9,0,0,0,0,0,2600,2600,308,308,316,312,312,10,0,0,106,106,0,0,0,0,9
10,0,0,0,0,0,2800,2800,308,308,316,312,312,10,0,0,106,106,0,0,0,0,10
11,0,0,0,0,0,2990,2990,308,308,316,312,312,10,0,0,106,106,0,0,0,0,11
12,0,0,0,0,0,2990,2990,312,308,316,312,312,10,0,0,106,106,0,0,0,0,12
13,0,0,0,0,0,2990,2990,312,312,316,312,316,10,0,0,106,106,0,0,0,0,13
14,0,0,0,0,0,2990,2990,312,312,316,316,316,10,0,0,106,106,0,0,0,0,14
15,0,0,0,0,0,2990,2990,312,312,316,316,316,10,0,0,106,106,0,0,0,0,15
16,0,0,0,0,0,2990,2990,312,312,316,316,316,10,0,0,106,106,0,0,0,0,16
17,0,0,0,0,0,2990,2990,312,312,316,316,316,10,0,0,106,106,0,0,0,0,17
18,0,0,0,0,0,2990,2990,312,312,320,316,316,10,0,0,106,106,0,0,0,0,18
19,0,0,0,0,0,2990,2990,312,312,320,316,316,10,0,0,106,106,0,0,0,0,19
20,0,0,0,0,0,2990,2990,312,316,320,316,320,10,0,0,106,106,0,0,0,0,20
21,0,0,0,0,0,2990,2990,312,316,320,320,320,10,0,0,106,106,0,0,0,0,21
22,0,0,0,0,0,2990,2990,316,316,320,320,320,10,0,0,106,106,0,0,0,0,22
23,0,0,0,0,0,2990,2990,316,316,320,320,320,10,0,0,106,106,0,0,0,0,23
24,0,0,0,0,0,2990,2990,316,316,320,320,320,10,0,0,106,106,0,0,0,0,24
25,0,0,0,0,0,2990,2990,316,316,320,320,320,10,0,0,106,106,0,0,0,0,25
26,0,0,0,0,0,2990,2990,316,316,320,320,320,10,0,0,106,106,0,0,0,0,26
27,0,0,0,0,0,2990,2990,316,316,320,320,320,10,0,0,106,106,0,0,0,0,27
28,0,0,0,0,0,2990,2990,316,316,320,320,320,10,0,0,106,106,0,0,0,0,28
29,0,0,0,0,0,2990,2990,316,316,320,320,320,10,0,0,106,106,0,0,0,0,29
35,0,0,0,0,0,2990,2990,316,316,320,320,320,20,0,0,106,106,784,794,95,157,30
36,0,0,0,0,0,2990,2990,316,316,320,320,320,30,0,0,106,106,781,792,98,158,31
37,0,0,0,0,0,2990,2990,316,316,320,320,316,40,0,0,106,106,781,791,96,162,32
38,0,0,0,0,0,2990,2990,316,316,320,316,316,50,0,0,106,106,786,793,91,159,33
39,0,0,0,0,0,2990,2990,316,316,320,316,316,60,0,0,106,106,774,780,81,157,34
40,0,0,0,0,0,2990,2990,316,316,320,320,316,70,0,0,106,106,771,791,91,157,35
41,0,0,0,0,0,2990,2990,316,316,320,320,316,80,0,0,106,106,780,790,94,159,36
42,0,0,0,0,0,2990,2990,316,316,320,320,320,90,0,0,106,106,769,792,94,155,37
43,0,0,0,0,0,2990,2990,316,316,320,320,320,100,0,0,106,106,771,789,97,145,38
44,0,0,0,0,0,2990,2990,316,316,320,320,320,110,0,0,106,106,769,778,83,147,39
45,0,0,0,0,0,2990,2990,316,316,320,320,320,120,0,0,106,106,784,788,91,161,40
46,0,0,0,0,0,2990,2990,316,316,320,320,320,130,0,0,106,106,771,793,95,155,41
47,0,0,0,0,0,2990,2990,316,316,324,320,320,140,0,0,106,106,773,791,97,149,42
48,0,0,0,0,0,2990,2990,316,316,324,320,320,150,0,0,106,106,769,781,85,144,43
49,0,0,0,0,0,2990,2990,316,316,324,320,320,160,0,0,106,106,769,779,80,142,44
50,0,0,0,0,0,2990,2990,316,316,324,320,320,170,0,0,106,106,770,787,97,160,45
51,0,0,0,0,0,2990,2990,316,316,324,320,320,180,0,0,106,106,782,789,95,145,46
52,0,0,0,0,0,2990,2990,316,316,324,320,320,190,0,0,106,106,770,779,82,149,47
53,0,0,0,0,0,2990,2990,316,316,324,320,320,200,0,0,106,106,770,783,84,142,48
54,0,0,0,0,0,2990,2990,316,316,324,320,320,210,0,0,106,106,784,794,95,154,49
55,0,0,0,0,0,2990,2990,316,316,324,320,320,220,0,0,106,106,768,791,98,146,50
56,0,0,0,0,0,2990,2990,316,316,324,320,320,230,0,0,106,106,772,780,81,146,51
57,0,0,0,0,0,2990,2990,316,316,324,320,320,240,0,0,106,106,772,783,82,144,52
58,0,0,0,0,0,2990,2990,320,316,324,320,320,250,0,0,106,106,783,791,95,162,53
59,0,0,0,0,0,2990,2990,320,316,324,320,320,260,0,0,106,106,781,794,94,143,54
60,0,0,0,0,0,2990,2990,320,316,324,320,320,270,0,0,106,106,766,781,87,146,55
61,0,0,0,0,0,2990,2990,320,320,324,324,320,280,0,0,106,106,787,792,95,157,56
62,0,0,0,0,0,2990,2990,320,320,324,324,324,290,0,0,106,106,768,777,86,147,57
63,0,0,0,0,0,2990,2990,320,320,324,324,324,300,0,0,106,106,774,793,94,142,58
64,0,0,0,0,0,2990,2990,320,320,324,324,324,300,0,0,106,106,782,792,98,157,59
65,0,0,0,0,0,2990,2990,320,320,324,324,324,300,0,0,106,106,780,792,94,158,60
66,0,0,0,0,0,2990,2990,320,320,324,324,324,300,0,0,106,106,767,791,100,159,61
67,0,0,0,0,0,2990,2990,320,320,324,320,324,300,0,0,106,106,785,791,94,160,62
68,0,0,0,0,0,2990,2990,320,320,324,320,324,300,0,0,106,106,780,794,99,157,63
69,0,0,0,0,0,2990,2990,320,320,324,320,324,300,0,0,106,106,783,789,97,164,64
70,0,0,0,0,0,2990,2990,320,320,324,320,320,300,0,0,106,106,786,790,95,164,65
71,0,0,0,0,0,2990,2990,320,320,324,320,320,300,0,0,106,106,782,792,93,146,66
72,0,0,0,0,0,2990,2990,320,320,324,320,320,300,0,0,106,106,772,789,97,160,67
73,0,0,0,0,0,2990,2990,316,320,324,320,320,300,0,0,106,106,770,776,85,147,68
74,0,0,0,0,0,2990,2990,320,320,324,320,320,300,0,0,106,106,783,791,95,156,69
75,0,0,0,0,0,2990,2990,320,320,324,320,324,300,0,0,106,106,784,790,98,146,70
76,0,0,0,0,0,2990,2990,320,320,324,320,324,300,4095,0,106,106,786,791,93,160,71
77,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,111,778,791,100,158,72
78,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,116,782,782,85,146,73
79,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,121,782,793,101,147,74
80,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,126,770,790,97,158,75
81,0,0,0,0,0,2990,2990,320,320,328,324,324,300,4095,0,106,131,784,790,96,159,76
82,0,0,0,0,0,2990,2990,320,320,328,324,324,300,4095,0,106,136,769,792,100,158,77
83,0,0,0,0,0,2990,2990,320,320,328,324,324,300,4095,0,106,141,782,788,95,145,78
84,0,0,0,0,0,2990,2990,320,320,328,324,324,300,4095,0,106,146,775,780,80,145,79
85,0,0,0,0,0,2990,2990,320,320,328,324,324,300,4095,0,106,151,779,791,98,157,80
86,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,156,778,795,97,157,81
87,0,0,0,0,0,2990,2990,320,320,324,320,320,300,4095,0,106,161,784,790,93,142,82
88,0,0,0,0,0,2990,2990,320,320,324,320,320,300,4095,0,106,166,777,786,96,158,83
89,0,0,0,0,0,2990,2990,320,320,324,320,320,300,4095,0,106,171,780,792,95,153,84
90,0,0,0,0,0,2990,2990,320,320,324,320,320,300,4095,0,106,176,784,791,92,158,85
91,0,0,0,0,0,2990,2990,320,320,324,324,320,300,4095,0,106,181,783,791,93,142,86
92,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,186,772,780,80,147,87
93,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,191,767,780,83,146,88
94,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,196,780,791,99,160,89
95,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,0,106,201,787,791,96,147,90
96,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,0,106,206,779,786,93,157,91
97,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,0,106,211,784,791,94,160,92
98,0,0,0,0,0,2990,2990,324,324,328,328,324,300,4095,0,106,216,782,795,96,157,93
99,0,0,0,0,0,2990,2990,324,324,328,328,324,300,4095,0,106,221,769,778,83,159,94
100,0,0,0,0,0,2990,2990,324,324,328,328,324,300,4095,0,106,226,784,793,95,156,95
101,0,0,0,0,0,2990,2990,324,324,328,328,324,300,4095,0,106,231,770,791,95,161,96
102,0,0,0,0,0,2990,2990,324,324,328,328,324,300,4095,0,106,236,781,796,96,155,97
103,0,0,0,0,0,2990,2990,324,324,328,328,324,300,4095,0,106,241,782,795,97,165,98
104,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,0,106,246,785,791,92,159,99
105,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,251,772,779,79,146,100
106,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,256,773,792,96,157,101
107,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,261,769,793,96,142,102
108,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,266,782,787,96,159,103
109,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,271,778,792,94,156,104
110,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,276,768,788,96,160,105
111,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,281,787,792,92,145,106
112,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,286,780,791,99,161,107
113,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,291,770,783,84,144,108
114,0,0,0,0,0,2990,2990,324,320,324,324,324,300,4095,0,106,296,772,781,79,146,109
115,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,0,106,301,773,791,93,144,110
116,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,0,106,306,782,791,97,159,111
117,0,0,0,0,0,2990,2990,324,320,328,328,324,300,4095,0,106,311,769,791,96,161,112
118,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,0,106,316,765,778,85,144,113
119,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,0,106,321,773,790,98,146,114
120,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,0,106,326,781,790,94,163,115
121,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,0,106,331,780,791,96,160,116
122,0,0,0,0,0,2990,2990,320,320,328,324,324,300,4095,0,106,336,771,778,77,141,117
123,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,0,106,341,770,789,92,147,118
124,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,106,346,783,790,100,160,119
125,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,235,106,780,790,95,163,120
126,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,235,111,783,794,97,156,121
127,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,235,116,780,794,96,161,122
128,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,235,121,782,791,93,160,123
129,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,235,126,783,794,94,158,124
130,0,0,0,0,0,2990,2990,320,320,328,324,324,300,4095,1,235,131,787,793,91,159,125
131,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,1,235,136,772,791,95,160,126
132,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,141,779,791,97,157,127
133,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,146,779,779,87,145,128
134,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,1,235,151,787,781,82,145,129
135,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,1,235,156,774,798,96,145,130
136,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,1,235,161,786,792,93,159,131
137,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,1,235,166,784,794,95,156,132
138,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,171,786,791,93,155,133
139,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,176,767,790,95,146,134
140,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,1,235,181,769,788,97,162,135
141,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,235,186,786,794,93,155,136
142,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,235,191,781,794,97,158,137
143,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,235,196,783,791,96,149,138
144,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,235,201,773,792,94,157,139
145,0,0,0,0,0,2990,2990,320,320,324,324,324,300,4095,1,235,206,772,795,97,157,140
146,0,0,0,0,0,2990,2990,320,320,328,324,324,300,4095,1,235,211,773,792,94,159,141
147,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,1,235,216,784,796,95,145,142
148,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,221,780,784,85,147,143
149,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,226,784,796,94,156,144
150,0,0,0,0,0,2990,2990,324,320,328,324,324,300,4095,1,235,231,769,795,101,159,145
151,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,236,784,791,99,149,146
152,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,241,782,795,98,159,147
153,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,246,787,792,94,159,148
154,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,251,780,792,98,159,149
155,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,256,767,781,84,162,150
156,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,261,780,789,97,161,151
157,0,0,0,0,0,2990,2990,324,324,328,324,328,300,4095,1,235,266,784,791,95,159,152
158,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,271,772,789,96,159,153
159,0,0,0,0,0,2990,2990,324,324,324,324,324,300,4095,1,235,276,779,783,83,159,154
160,0,0,0,0,0,2990,2990,324,324,324,324,324,300,4095,1,235,281,787,795,95,161,155
161,0,0,0,0,0,2990,2990,324,324,324,324,324,300,4095,1,235,286,779,794,96,157,156
162,0,0,0,0,0,2990,2990,324,320,324,324,324,300,4095,1,235,291,775,783,79,144,157
163,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,296,786,794,93,147,158
164,0,0,0,0,0,2990,2990,324,324,328,324,324,300,4095,1,235,301,779,790,97,159,159
165,0,0,0,0,0,2990,2990,324,324,328,328,324,300,4095,1,235,306,771,779,81,148,160
166,0,0,0,0,0,2990,2990,324,324,328,328,324,300,4095,1,235,311,785,795,97,157,161
167,0,0,0,0,0,2990,2990,324,324,328,328,328,300,4095,1,235,316,780,794,95,146,162
168,0,0,0,0,0,2990,2990,324,324,328,328,328,300,4095,1,235,321,786,797,98,158,163
169,0,0,0,0,0,2990,2990,324,324,328,328,328,300,4095,1,235,326,788,793,94,156,164
170,0,0,0,0,0,2990,2990,324,324,328,328,328,300,4095,1,235,331,773,794,95,159,165
171,0,0,0,0,0,2990,2990,328,324,328,328,328,300,4095,1,235,336,772,789,96,149,166
172,0,0,0,0,0,2990,2990,328,324,328,328,328,300,4095,1,235,341,787,791,94,159,167
173,0,0,0,0,0,2990,2990,328,328,328,328,328,300,4095,2,235,346,782,790,97,160,168
174,0,0,0,0,0,2990,2990,328,324,328,328,328,300,4095,2,262,106,786,791,96,161,169
175,0,0,0,0,0,2990,2990,324,324,328,328,328,300,4095,2,262,111,782,794,93,145,170
176,0,0,0,0,0,2990,2990,324,324,328,328,328,300,4095,2,262,116,782,792,98,160,171
177,0,0,0,0,0,2990,2990,324,324,328,328,328,300,4095,2,262,121,783,796,95,157,172
178,0,0,0,0,0,2990,2990,324,324,328,328,328,300,4095,2,262,126,773,791,93,162,173
179,0,0,0,0,0,2990,2990,324,324,328,328,328,300,4095,2,262,131,784,791,96,148,174
180,0,0,0,0,0,2990,2990,324,324,328,328,328,300,4095,2,262,136,784,791,93,158,175
181,0,0,0,0,0,2990,2990,328,324,328,328,328,300,4095,2,262,141,774,793,94,155,176
182,0,0,0,0,0,2990,2990,328,324,328,328,328,300,4095,2,262,146,787,792,94,157,177
183,0,0,0,0,0,2990,2990,328,328,328,328,328,300,4095,2,262,151,783,795,100,146,178
184,0,0,0,0,0,2990,2990,328,328,332,328,328,300,4095,2,262,156,783,791,97,160,179
185,0,0,0,0,0,2990,2990,328,328,332,328,328,300,4095,2,262,161,788,794,94,159,180
186,0,0,0,0,0,2990,2990,328,328,332,328,332,300,4095,2,262,166,789,794,95,159,181
187,0,0,0,0,0,2990,2990,328,328,332,328,332,300,4095,2,262,171,772,779,81,157,182
188,0,0,0,0,0,2990,2990,328,328,332,328,332,300,4095,2,262,176,772,779,82,148,183
189,0,0,0,0,0,2990,2990,328,328,332,328,332,300,4095,2,262,181,786,794,96,155,184
190,0,0,0,0,0,2990,2990,328,328,332,328,332,300,4095,2,262,186,768,791,100,160,185
191,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,191,786,795,96,145,186
192,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,196,781,792,96,154,187
193,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,201,765,784,86,145,188
194,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,206,786,793,100,160,189
195,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,211,784,791,98,148,190
196,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,216,785,791,94,157,191
197,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,221,785,796,96,158,192
198,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,226,771,794,95,160,193
199,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,231,788,794,97,147,194
200,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,236,782,789,97,159,195
201,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,241,782,792,101,161,196
202,0,0,0,0,0,2990,2990,328,328,332,332,328,300,4095,2,262,246,785,790,97,164,197
203,0,0,0,0,0,2990,2990,328,328,332,332,328,300,4095,2,262,251,772,796,98,145,198
204,0,0,0,0,0,2990,2990,328,328,332,328,328,300,4095,2,262,256,786,789,90,159,199
205,0,0,0,0,0,2990,2990,328,328,332,328,328,300,4095,2,262,261,790,795,95,161,200
206,0,0,0,0,0,2990,2990,328,328,328,328,328,300,4095,2,262,266,783,790,92,159,201
207,0,0,0,0,0,2990,2990,328,328,332,328,328,300,4095,2,262,271,784,790,96,149,202
208,0,0,0,0,0,2990,2990,328,328,332,328,328,300,4095,2,262,276,773,784,85,146,203
209,0,0,0,0,0,2990,2990,328,328,332,328,328,300,4095,2,262,281,780,795,98,160,204
210,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,286,783,794,94,161,205
211,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,291,769,782,87,161,206
212,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,296,768,792,94,158,207
213,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,301,772,792,94,156,208
214,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,306,784,795,95,156,209
215,0,0,0,0,0,2990,2990,328,328,332,328,332,300,4095,2,262,311,769,782,84,160,210
216,0,0,0,0,0,2990,2990,328,328,332,328,332,300,4095,2,262,316,784,787,93,162,211
217,0,0,0,0,0,2990,2990,328,328,332,328,332,300,4095,2,262,321,783,789,97,159,212
218,0,0,0,0,0,2990,2990,328,328,332,328,332,300,4095,2,262,326,784,790,94,160,213
219,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,331,782,789,99,148,214
220,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,336,780,791,99,160,215
221,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,2,262,341,786,795,93,159,216
222,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,3,262,346,773,795,96,156,217
223,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,3,300,106,782,793,92,148,218
224,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,3,300,111,784,791,95,158,219
225,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,3,300,116,787,794,96,156,220
226,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,3,300,121,785,778,85,148,221
227,0,0,0,0,0,2990,2990,328,328,332,332,332,300,4095,3,300,126,784,791,100,147,222
228,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,131,769,779,86,146,223
229,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,136,785,790,95,163,224
230,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,141,780,791,99,157,225
231,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,146,781,791,99,145,226
232,0,0,0,0,0,2990,2990,332,328,336,332,332,300,4095,3,300,151,767,782,86,145,227
233,0,0,0,0,0,2990,2990,332,328,332,332,332,300,4095,3,300,156,787,794,94,158,228
234,0,0,0,0,0,2990,2990,332,328,336,332,332,300,4095,3,300,161,781,791,92,158,229
235,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,166,772,790,96,147,230
236,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,171,781,794,97,158,231
237,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,176,784,795,93,157,232
238,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,181,780,793,98,157,233
239,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,186,772,779,84,159,234
240,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,191,771,775,83,147,235
241,0,0,0,0,0,2990,2990,332,332,336,336,332,300,4095,3,300,196,776,793,93,160,236
242,0,0,0,0,0,2990,2990,332,332,336,336,332,300,4095,3,300,201,779,794,97,158,237
243,0,0,0,0,0,2990,2990,332,332,336,336,332,300,4095,3,300,206,780,783,87,160,238
244,0,0,0,0,0,2990,2990,332,332,336,336,332,300,4095,3,300,211,784,795,92,156,239
245,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,216,781,791,100,160,240
246,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,221,774,794,98,159,241
247,0,0,0,0,0,2990,2990,332,332,336,332,332,300,4095,3,300,226,783,792,100,160,242
248,0,0,0,0,0,2990,2990,332,332,336,336,332,300,4095,3,300,231,784,787,94,161,243
249,0,0,0,0,0,2990,2990,332,332,336,336,332,300,4095,3,300,236,769,780,84,147,244
